question_id,question,system,answer,sources,correctness,relevance,completeness
Q12,My occupation is on the Immigration Salary List. Does that change the salary requirement for my Skilled Worker visa?,RAG,"Yes. If your job is on the Immigration Salary List, you can be paid less than the standard Skilled Worker salary requirement.

According to Source 2, “There is a lower salary threshold if you have a job on the list for the Skilled Worker visa and the Health and Care Worker visa.”

Source 1 also confirms that you might still be able to apply if your salary is less than the standard requirement of £41,700 or your job’s standard going rate, provided your job is eligible.

For the specific lower threshold that applies to your occupation, you should check the Immigration Salary List table for your SOC code and the relevant part of the UK, as inclusion can vary by area and may have a removal date.",https://www.gov.uk/skilled-worker-visa/when-you-can-be-paid-less | https://www.gov.uk/government/publications/skilled-worker-visa-immigration-salary-list | immigration_data\immigration_rules_full_20260630.pdf,2,2,2
Q13,How long can I normally stay in the UK with a Standard Visitor visa?,LLM-only,"Under a Standard Visitor visa, you can normally stay in the UK for up to **6 months per visit**.

In certain specific circumstances, you may be able to stay for longer if you are visiting:

- **For private medical treatment** – up to **11 months**
- **As an academic** – up to **12 months** (if you meet the relevant eligibility requirements)

However, for most standard visits (tourism, visiting family/friends, business meetings, etc.), the maximum permitted stay is **6 months**.

You should also check the validity period of your visa and any conditions attached to it, as the exact dates you are allowed to enter and remain will be stated on your visa vignette or decision letter.",,2,2,2
Q13,How long can I normally stay in the UK with a Standard Visitor visa?,RAG,"Based on the provided context, you can normally stay in the UK for **up to 6 months** on a Standard Visitor visa.

- **Source 1** states: ""You can usually stay in the UK for up to 6 months.""
- **Source 2** states: ""You can stay for a maximum of 6 months on each visit and your visa can last for 2, 5 or 10 years.""
- **Source 3** states: ""This visa lasts 2, 5 or 10 years. You can stay for a maximum of 6 months on each visit.""
- **Source 4** states: ""A Standard Visitor may apply for a visit visa of six months, two, five or 10 years validity, however each stay in the UK must not exceed the permitted length of stay endorsed on the visit visa (usually six months).""

In certain circumstances, you might be able to apply to stay for longer — for example, to get medical treatment — but the standard maximum stay is 6 months per visit.",https://www.gov.uk/standard-visitor | https://www.gov.uk/transit-visa/visitor-in-transit-visa | https://www.gov.uk/standard-visitor/apply-standard-visitor-visa | immigration_data\immigration_rules_full_20260630.pdf,2,2,2
Q14,"If I have a 5-year Standard Visitor visa, can I stay in the UK continuously for five years?",LLM-only,"No, you cannot. A Standard Visitor visa—even if it is valid for 5 years—does **not** allow you to stay in the UK continuously for five years.

The key points are:

- **Maximum stay per visit:** You can normally stay for a maximum of **6 months per visit**.
- **Not for long-term residence:** The Standard Visitor route is for temporary visits only (tourism, visiting family/friends, short business trips, etc.). You must not use repeated or successive visits to live in the UK for extended periods.
- **No right to reside:** Holding a 5-year visit visa does not give you any right to reside, work, study long-term, or settle in the UK.
- **Border scrutiny:** Even with a valid multi-year visa, Border Force officers can question you at the border. If they believe you are effectively trying to live in the UK through frequent or successive visits, they can refuse you entry or curtail your visa.
- **General expectation:** You should spend the majority of your time outside the UK and be able to demonstrate genuine visitor intentions on each entry.

In short: the 5-year validity simply means you can use the visa for multiple short visits over five years, not that you can remain in the UK for the whole period.",,2,2,2
Q14,"If I have a 5-year Standard Visitor visa, can I stay in the UK continuously for five years?",RAG,"No, you cannot stay continuously for five years. According to the official guidance, a long-term Standard Visitor visa (including the 5-year option) allows you to stay for a **maximum of 6 months on each visit** (Source 1 and Source 2). Additionally, your visa may be cancelled if your travel history shows you are repeatedly living in the UK for extended periods (Source 1).",https://www.gov.uk/standard-visitor/apply-standard-visitor-visa | https://www.gov.uk/transit-visa/visitor-in-transit-visa,2,2,2
Q15,How early can I apply for a Standard Visitor visa before travelling to the UK?,LLM-only,"For a Standard Visitor visa, you can apply **up to 3 months before your intended date of travel** to the UK.

The key points to note:

- **Earliest application date:** 3 months before your planned travel date
- **Latest application date:** You should apply at least 3 weeks before you intend to travel, though this is a guideline rather than a strict rule
- **Processing time:** Standard processing typically takes around 3 weeks from your biometric appointment, though this can vary by country and time of year

**Important considerations:**

- You should not book non-refundable travel or accommodation before your visa is granted
- The visa start date (the ""valid from"" date) will generally be the date your visa is issued, or a date you specify in your application (within the 3-month window)
- You can request a later start date on your application form if you're applying early but don't plan to travel immediately

If you apply more than 3 months before your travel date, your application may be refused or you may be asked to reapply at the correct time.",,2,2,2
Q15,How early can I apply for a Standard Visitor visa before travelling to the UK?,RAG,"According to the official UK government guidance, the earliest you can apply for a Standard Visitor visa is **3 months before you travel**.

This is stated in multiple sources:

- **Source 1** (gov.uk/standard-visitor/apply-standard-visitor-visa): “The earliest you can apply is 3 months before you travel.”
- **Source 2** (gov.uk/standard-visitor): “The earliest you can apply is 3 months before you travel.”
- **Source 3** (gov.uk/standard-visitor): “The earliest you can apply is 3 months before you travel.”

You must apply online before you travel to the UK and attend an appointment at a visa application centre.",https://www.gov.uk/standard-visitor/apply-standard-visitor-visa | https://www.gov.uk/standard-visitor?step-by-step-nav=e8254fb0-f2d9-45b1-bdc4-d17cbba11bef | https://www.gov.uk/standard-visitor | immigration_data\immigration_rules_full_20260630.pdf,2,2,2
Q16,"After living in the UK on a Skilled Worker visa, when can I apply for indefinite leave to remain?",LLM-only,"As a Skilled Worker, you can generally apply for indefinite leave to remain (ILR) after **5 continuous years** in the UK on this route.

However, you must also meet all the other eligibility requirements at the time of application, including:

- **Continuous residence** – you must not have been outside the UK for more than 180 days in any 12-month period during the qualifying period.
- **Current employer sponsorship** – your employer must confirm they still need you for the foreseeable future.
- **Salary threshold** – you must be paid at least the general salary threshold (currently £38,700 per year, or the going rate for your occupation, whichever is higher), unless an exemption applies.
- **Knowledge of Life in the UK** – you must pass the Life in the UK test.
- **English language** – you must meet the English language requirement (usually at B1 level or above).

Time spent on other qualifying routes (such as a Global Talent visa, Scale-up visa, or in some cases a dependant visa) may count toward the 5-year period, but time on a Student visa or Graduate visa does not.

If you have any specific concerns about absences, salary, or combining time on different visas, it is worth checking the detailed Home Office guidance or seeking professional advice before applying.",,1,2,2
Q16,"After living in the UK on a Skilled Worker visa, when can I apply for indefinite leave to remain?",RAG,"Based on the provided context, the specific timing requirement (for example, the continuous residence period, usually 5 years) is not quoted in the sources you supplied.

However, the context does confirm that indefinite leave to remain is available for Skilled Worker visa holders, and that family members can apply with you or separately:

- “You can include your partner and children on your application if they’re eligible.”
- “Your partner and children can apply separately at a later date, for example if they’re not eligible yet.”
- “They can continue to extend their visa as your Skilled Worker, Health and Care Worker or T2 dependant, even after you get indefinite leave to remain”

For detailed guidance on the exact qualifying period and requirements, please check the official UK government website or speak to a professional immigration adviser.",https://www.gov.uk/indefinite-leave-to-remain-tier-2-t2-skilled-worker-visa | https://www.gov.uk/indefinite-leave-to-remain-tier-2-t2-skilled-worker-visa/family-members | immigration_data\immigration_rules_full_20260630.pdf,2,1,1
Q17,Do I still need to meet a salary requirement when applying for indefinite leave to remain as a Skilled Worker?,LLM-only,"Yes, you still need to meet a salary requirement when applying for indefinite leave to remain (ILR) as a Skilled Worker, unless you fall within a specific exemption.

As of the current Immigration Rules (and following the changes introduced on 4 April 2024), the general salary threshold for ILR as a Skilled Worker is **£38,700 per year** (gross), or the **going rate for your specific occupation code**, whichever is higher.

However, there are important nuances and transitional arrangements:

### 1. If you were already in the Skilled Worker route before 4 April 2024
If you held a Skilled Worker (or Tier 2 General) visa before 4 April 2024 and have remained in this route continuously since then, you may benefit from transitional protection. In that case, the salary requirement for ILR is the higher of:

- **£29,000 per year** (gross), or
- The **going rate for your occupation code** as set out in the pre-4 April 2024 rules, or
- The **reduced going rate** if you are a new entrant (though this is less common for ILR applicants).

This transitional rate is expected to remain in place for those who were already in the route before the April 2024 changes, even if they apply for ILR after that date.

### 2. Health and Care Worker visa holders
If you are on a Health and Care Worker visa, the salary threshold for ILR is based on the **national pay scale for your specific role** (e.g., Agenda for Change banding in the NHS), not the general £38,700 threshold. You must still be paid at least the appropriate rate for your job.

### 3. Occupation-specific “going rates”
For all applicants, the salary must also meet the **going rate** for the specific SOC (Standard Occupational Classification) code under which you are sponsored. The going rate is based on a 37.5-hour week; if you work fewer or more hours, the salary is pro-rated accordingly.

### 4. Allowances and what counts as salary
Only **basic gross salary** (guaranteed) counts towards the threshold. Allowances such as overtime, bonuses, and employer pension contributions do not count, unless they are guaranteed and specified in your Certificate of Sponsorship.

### 5. Evidence required
When you apply for ILR, your employer must provide a letter confirming:

- That you are still required for the job,
- Your current salary,
- That the salary meets or exceeds the appropriate threshold, and
- That you will be paid this for the foreseeable future.

You will also need to provide recent payslips and bank statements to evidence your earnings.

### Summary
- **General threshold (post-4 April 2024 new entrants):** £38,700 or going rate, whichever is higher.
- **Transitional threshold (pre-4 April 2024 visa holders):** £29,000 or going rate, whichever is higher.
- **Health and Care Worker visa:** National pay scale for the role.
- **Always check the going rate for your SOC code**, as it may be higher than the general threshold.

If you are unsure which threshold applies to you, it is advisable to check the specific going rate for your occupation code in the current Immigration Rules Appendix Skilled Occupations, and to confirm with your sponsor that your salary meets the requirement before applying.",,1,2,2
Q17,Do I still need to meet a salary requirement when applying for indefinite leave to remain as a Skilled Worker?,RAG,"Based on the provided context, yes, you must meet the salary requirements when applying for indefinite leave to remain as a Skilled Worker.

Source 1 states that to be eligible you must:

- “meet the salary requirements”
- “continue to be needed for your job and meet the salary requirements after you get indefinite leave to remain - you’ll need a document from your employer (sponsor) to confirm this”

Source 3 also indicates that there is a “standard salary requirement of £41,700” for a Skilled Worker visa, though it notes that you might still be able to apply if your salary is less than this in certain circumstances.

For detailed guidance on your specific salary situation, please check the official UK government website or consult a professional immigration adviser.",https://www.gov.uk/settle-in-the-uk/y/you-have-a-work-visa/tier-2-general-visa | https://www.gov.uk/indefinite-leave-to-remain-tier-2-t2-skilled-worker-visa/family-members | https://www.gov.uk/skilled-worker-visa/when-you-can-be-paid-less | immigration_data\immigration_rules_full_20260630.pdf,2,2,2
Q18,I have spent some time outside the UK while holding a Skilled Worker visa. Could this affect my application for settlement?,LLM-only,"Yes, it could. Time spent outside the UK can affect a Skilled Worker settlement (indefinite leave to remain) application in two main ways: the **continuous residence requirement** and the **absences limit**.

### 1. The 180-day absence rule
Under Appendix Skilled Worker, you must not have been outside the UK for more than **180 days in any rolling 12-month period** during your qualifying period. The Home Office counts this on a rolling basis, not calendar years.

Key points:
- The limit applies to the whole qualifying period relied upon for settlement.
- Absences are counted as whole days outside the UK. The day of departure and day of arrival are generally **not** counted as absences because you are treated as being in the UK for part of those days.
- The 180-day limit applies to any reason for absence, including annual leave, business travel, or family reasons, unless a specific exception applies.

### 2. Continuous residence
You must show continuous residence in the UK. Excessive or repeated absences can raise questions about whether your residence has been continuous, even if each individual absence is under 180 days.

### 3. Exceptions
There are limited exceptions where absences over 180 days may be disregarded, for example:
- travel disruption due to pandemic, natural disaster, or conflict
- serious illness or injury of the applicant or a close family member
- compelling occupational or compassionate reasons, where evidence is provided
- some absences for research or work directly related to the sponsored employment, if evidenced

These are assessed case-by-case and require strong supporting evidence.

### 4. Other practical points
- Keep records of all travel dates, reasons, and evidence.
- If you were working remotely from abroad for your sponsor, this is generally permitted for short periods, but long or frequent remote working abroad can raise concerns about whether the role is genuinely based in the UK.
- Absences do not “reset” the qualifying period unless continuous residence is broken.

### What you should do now
- Calculate all absences carefully using the rolling 12-month method.
- If any 12-month period exceeds 180 days, consider whether an exception may apply and gather evidence.
- If you are close to the limit, you may wish to delay applying until the relevant absence falls outside the rolling period, if that is possible.

If you tell me the dates and lengths of your absences, I can help you assess whether they are likely to cause a problem.",,2,2,2
Q18,I have spent some time outside the UK while holding a Skilled Worker visa. Could this affect my application for settlement?,RAG,"Based on the provided context, time outside the UK can affect a settlement application.

For Skilled Worker settlement, the Immigration Rules state that the applicant must have spent a continuous period of 5 years in the UK (SW 21.1, Source 4).

Source 1, which covers settlement for work visas including Skilled Worker, states:

> “Time outside the UK: You must have spent no more than 180 days outside the UK in any 12 months. If you think you’re affected by this rule, find out how to calculate your time in the UK (‘continuous residence’).”

So, if you have spent more than 180 days outside the UK in any 12-month period while on a Skilled Worker visa, this could break your continuous residence and affect your eligibility for settlement.

For detailed guidance on calculating continuous residence and how absences are treated, you should check the official UK government website or consult a professional immigration adviser.",https://www.gov.uk/settle-in-the-uk/y/you-have-a-work-visa/tier-1-entrepreneur-visa | https://www.gov.uk/government/publications/indefinite-leave-to-remain-calculating-continuous-period-in-uk | immigration_data\immigration_rules_full_20260630.pdf,2,2,2
Q19,I already have a Skilled Worker visa but want to change to a different employer. Do I need to do anything to my visa?,LLM-only,"Yes, you will need to apply to update your Skilled Worker visa before you can start working for the new employer.

Specifically, you must submit a new Skilled Worker application (often referred to as a ""change of employment"" application) from within the UK. You cannot simply transfer the visa.

Here are the key points you need to know:

**1. You need a new Certificate of Sponsorship (CoS)**
Your new employer must be a licensed Home Office sponsor. They will need to assign a new Certificate of Sponsorship (CoS) to you for the new role. The job must meet the current Skilled Worker eligibility requirements (skill level and salary threshold).

**2. Apply before you start the new job**
You must submit your new application and receive approval *before* you begin working for the new employer. You cannot start the new job while the application is pending.

**3. You can only work for your current employer while the application is pending**
While your new application is being processed, you must continue working only for your current (old) employer under the terms of your existing visa. You cannot hand in your notice and start the new role until the new visa is granted.

**4. Application requirements**
You will need to meet the current Skilled Worker requirements, including:
- A valid CoS from the new employer
- The appropriate salary for the role (at least the general threshold or the going rate for the occupation, whichever is higher)
- English language requirement (you may be able to rely on your previous evidence if it is still valid)
- Maintenance funds (unless your new sponsor is willing to certify maintenance on the CoS, which most do)

**5. Immigration Skills Charge and fees**
Your new employer will likely need to pay the Immigration Skills Charge and the CoS fee. You will need to pay the visa application fee and the Immigration Health Surcharge (IHS) again for the new period of leave.

**6. Time spent on the new visa counts towards settlement**
Time spent on your current Skilled Worker visa and the new one can be combined towards the 5-year continuous residence requirement for Indefinite Leave to Remain (ILR), provided there is no break in your lawful residence.

**7. If you are switching from a Skilled Worker visa to a different route**
If you are changing to a different type of visa (e.g., a Health and Care Worker visa or a Global Business Mobility visa), the rules may differ slightly, but the principle is the same: you must apply for and be granted the new visa before starting the new job.

**In summary:** Yes, you must apply for a new Skilled Worker visa (change of employment) from within the UK, with a new CoS from your new employer, and you must wait for approval before starting the new role.

Would you like more detail on any of these points, such as the current salary thresholds or the application process itself?",,1,2,2
Q19,I already have a Skilled Worker visa but want to change to a different employer. Do I need to do anything to my visa?,RAG,"Yes, you need to apply to update your Skilled Worker visa if you want to change to a different employer.

According to Source 1 (https://www.gov.uk/skilled-worker-visa/update-your-visa-if-you-change-job-or-employer):

“You’ll need to apply to update your Skilled Worker or Tier 2 (General) work visa if: you want to change your job and your new job is with a different employer”

Source 3 (https://www.gov.uk/skilled-worker-visa) also confirms that you cannot “change jobs or employer unless you apply to update your visa.”",https://www.gov.uk/skilled-worker-visa/update-your-visa-if-you-change-job-or-employer | https://www.gov.uk/skilled-worker-visa/switch-to-this-visa | https://www.gov.uk/skilled-worker-visa | https://www.gov.uk/skilled-worker-visa/your-job,2,2,2
Q20,I am currently studying in the UK and have received a job offer. Can I switch from a Student visa to a Skilled Worker visa?,LLM-only,"Yes, you can switch from a Student visa to a Skilled Worker visa from within the UK, provided you meet the eligibility requirements. You do not need to leave the UK and apply from your home country.

**Key requirements:**

1. **Job offer from a licensed sponsor** – Your employer must hold a valid Skilled Worker sponsor licence and issue you a valid Certificate of Sponsorship (CoS).

2. **Skill level** – The job must be at RQF Level 3 or above (A-level equivalent or higher).

3. **Salary threshold** – You must meet the general salary threshold (currently £38,700 per year) or the going rate for the occupation, whichever is higher — unless you qualify for the “new entrant” rate.

4. **New entrant discount** – As a Student visa holder switching in the UK, you will likely qualify as a “new entrant,” which reduces the salary threshold to £30,960 per year or 70% of the going rate for the occupation, whichever is higher. To qualify as a new entrant, you must have completed (or be applying no more than 2 years after completing) a UK bachelor’s degree, master’s degree, PhD, or other eligible qualification — or be under 26 at the time of application.

5. **English language** – You must prove your English ability. Having completed a UK degree satisfies this requirement.

6. **Financial requirement** – You must have at least £1,270 in available funds for 28 consecutive days, unless your sponsor certifies maintenance on your CoS.

**Important timing note:** You can apply to switch up to 3 months before your course completion date, but you cannot start work until you have submitted your Skilled Worker application and your Student visa conditions allow it (or once your new visa is granted, if earlier).

Would you like guidance on the application process, fees, or timelines?",,1,2,2
Q20,I am currently studying in the UK and have received a job offer. Can I switch from a Student visa to a Skilled Worker visa?,RAG,"Based on the provided context, the sources do not give specific details about switching from a Student visa to a Skilled Worker visa. However, Source 4 states:

> ""If you are on a Student visa that is due to expire you can apply to extend your permission, switch to a Graduate visa, or switch to another type of visa if you meet the Immigration Rules.""

This suggests that switching from a Student visa to another visa type, such as a Skilled Worker visa, may be possible if you meet the requirements of that route.

For detailed guidance on the Skilled Worker visa, including eligibility, fees, and how to switch, please check the official UK government website or consult a professional immigration adviser.",https://www.gov.uk/uk-expansion-worker-visa/switch | https://www.gov.uk/secondment-worker-visa/switch-to-this-visa | https://www.gov.uk/entering-staying-uk | https://www.gov.uk/guidance/ukrainian-nationals-in-the-uk-visa-support,2,2,1
Q21,What documents and information do I need when applying to visit the UK as a tourist?,LLM-only,"As a UK immigration adviser, I can outline the key requirements for a Standard Visitor visa application (for tourism). The exact documents depend on your nationality and circumstances, but generally you will need:

## Core Requirements

**1. Valid Passport**
- Must be valid for the entire duration of your stay
- Should have at least one blank page for the visa vignette

**2. Completed Online Application Form**
- Submitted via the UK Visas and Immigration (UKVI) website
- Visa fee payment confirmation

**3. Biometric Information**
- Fingerprints and photograph taken at a Visa Application Centre
- Appointment confirmation letter

## Supporting Documents

**Proof of Financial Means**
- Recent bank statements (typically 3–6 months)
- Payslips or proof of regular income
- Evidence of savings or investments
- If sponsored: sponsor's bank statements and a sponsorship letter

**Proof of Employment/Studies**
- Employment letter confirming your role, salary, and approved leave
- If self-employed: business registration documents, tax returns
- If a student: enrolment letter from your institution

**Accommodation Details**
- Hotel bookings or
- Invitation letter from host with their address and immigration status in the UK

**Travel Itinerary**
- Flight bookings (return tickets recommended)
- Planned activities or tour bookings (optional but helpful)

**Ties to Home Country**
- Property ownership documents or tenancy agreements
- Family ties (marriage certificate, children's birth certificates)
- Evidence of ongoing commitments (e.g., return to work/study)

**Previous Travel History**
- Copies of previous visas and entry/exit stamps (if applicable)

## Key Points to Remember

- **All documents not in English or Welsh** must be accompanied by a certified translation
- **Do not submit false documents** — this leads to a 10-year ban
- **You must demonstrate you are a genuine visitor** — you intend to leave the UK at the end of your visit and will not live in the UK for extended periods through frequent visits
- **You must not intend to work** or access public funds

## Visa Nationals vs Non-Visa Nationals

- **Visa nationals** (e.g., citizens of India, China, Nigeria, etc.) must apply before travel
- **Non-visa nationals** (e.g., EU/EEA citizens, US, Canada, Australia, etc.) can usually enter as visitors without a visa, though they may still be questioned at the border and should carry similar evidence

Would you like me to clarify anything specific about your situation?",,1,2,2
Q21,What documents and information do I need when applying to visit the UK as a tourist?,RAG,"Based on the provided context, the documents and information you need depend on the type of application you are making.

For a **Standard Visitor visa** (which covers tourism, holidays, or seeing family or friends), the context does not list a specific document checklist. However, it confirms that you must apply online before you travel, the visa costs **£135 for up to 6 months**, and the earliest you can apply is **3 months before you travel** (Source 3).

More generally, when applying to come to the UK, you will be told exactly what documents and supporting evidence you need as part of the application process. You will also need to provide your **biometric information (fingerprints and photograph)**, usually at a visa application centre (Source 4).

For detailed guidance on the specific documents required for a tourist visit, please check the official UK government website or consult a professional immigration adviser.",https://www.gov.uk/visit-uk-holiday-family-friends | https://www.gov.uk/minister-of-religion-visa/print | https://www.gov.uk/standard-visitor | https://www.gov.uk/apply-to-come-to-the-uk/paying-fees-and-proving-your-identity,2,1,0
Q22,My partner lives in Britain and I want to stay with them permanently. What route should I look at?,LLM-only,"To give you the most accurate answer, I need a bit more information about your situation. The best route depends on several key factors, including your nationality, your partner’s immigration status, whether you are married or unmarried, and your current location.

Here is a breakdown of the most common routes to look at:

### 1. The Family Visa (Partner Route)
This is the most common route if your partner is a **British citizen** or **settled in the UK** (e.g., they have Indefinite Leave to Remain, settled status under the EU Settlement Scheme, or refugee status).

**You can apply if you are:**
-   A spouse (legally married).
-   A civil partner.
-   An unmarried partner (you must have been living together in a relationship akin to marriage for at least **2 years**).
-   A proposed partner (fiancé(e) or proposed civil partner) with proof you will marry within 6 months.

**Key requirements for this route:**
-   **Financial Requirement:** Your partner (the UK sponsor) generally needs to prove a minimum gross annual income of **£29,000** (this is the current threshold as of April 2024). This can be met through employment, self-employment, savings, or a combination. If you have children who are not British/settled, the threshold is higher.
-   **Accommodation:** You must show you have adequate accommodation for you and any dependents without relying on public funds.
-   **English Language:** You must prove your knowledge of English (usually by passing an approved A1 test for the initial visa, or holding a degree taught in English).
-   **Genuine Relationship:** You must prove your relationship is genuine and subsisting.

### 2. The EU Settlement Scheme (EUSS)
**This route is only available if your relationship began before 31 December 2020.**
-   If your partner is an EU, EEA, or Swiss citizen living in the UK with ""Settled"" or ""Pre-Settled"" status, you may be able to apply as a ""Joining Family Member.""
-   **Deadline:** The deadline for most applications has passed, but late applications are accepted if you have ""reasonable grounds"" for missing the deadline (e.g., you were unaware of the scheme, medical reasons, or you are a new partner joining someone *now* but the relationship started before the cut-off date).

### 3. The Fiancé(e) / Proposed Civil Partner Visa
If you are currently outside the UK and want to get married *in* the UK:
-   You apply for a 6-month visa to enter the UK, get married/civil partnered, and then switch to the Spouse Visa from *inside* the UK.
-   **Note:** You cannot work on a Fiancé(e) visa. You can only work once you have switched to the Spouse Visa.

### 4. The Unmarried Partner Visa (Cohabitation)
If you are not married but have been living together for 2+ years, you can apply directly for the Unmarried Partner Visa. This gives you the same rights as a Spouse Visa (right to work, access to NHS, etc.) but requires strong documentary evidence of cohabitation (joint leases, bills, bank statements addressed to both of you at the same address).

### 5. Dependants on Other Visas
If your partner is in the UK on a **Work Visa** (e.g., Skilled Worker, Health and Care Worker) or a **Student Visa**, you may be able to apply as their ""Dependant.""
-   **Student Visa restrictions:** If your partner is on a Student Visa, you can usually only join them as a dependant if they are studying a postgraduate course (level 7 or above) lasting 9 months or more, or if they are a government-sponsored student.

---

### Next Steps for You
To narrow this down, I recommend looking at the **UK Government website (GOV.UK)** and searching for the ""Family Visa"" or ""Appendix FM Partner"" guidance.

**If you can answer the following, I can give you a more specific roadmap:**

1.  What is your nationality?
2.  What is your partner's immigration status in the UK (British Citizen, Settled, Pre-Settled, Work Visa)?
3.  Are you married, in a civil partnership, or unmarried? If unmarried, how long have you lived together?
4.  Are you currently inside the UK or outside the UK?
5.  Does your partner meet the £29,000 income threshold?",,1,2,2
Q22,My partner lives in Britain and I want to stay with them permanently. What route should I look at?,RAG,"Based on the provided context, if your partner lives in Britain and you want to stay with them permanently, you should look at the **family visa route**, specifically as a **partner**.

The context includes a government page titled **“Indefinite leave to remain if you have family in the UK”** (Source 2), which is the relevant route for settling permanently based on a family relationship.

Additionally, the Immigration Rules excerpt (Source 1) refers to requirements for **indefinite leave to remain as a parent** and mentions that if an applicant does not meet the requirements for indefinite leave as a parent, they may be granted **further limited leave to remain as a partner** for a period not exceeding 30 months. This indicates that the partner route is a recognised path toward settlement.

For detailed guidance on eligibility, the required period of residence, financial requirements, and how to apply, please check the official UK government website at **www.gov.uk** or consult a qualified immigration adviser.",immigration_data\immigration_rules_full_20260630.pdf | https://www.gov.uk/indefinite-leave-to-remain-family | https://www.gov.uk/visas-partner-dies,2,2,2
Q23,I want to visit my family in Britain for about eight months. Can I just use a normal visitor visa?,LLM-only,"Based on the standard UK Immigration Rules, **a standard Visitor visa normally only allows a maximum stay of 6 months per visit**. An 8-month stay would not be permitted under the ordinary visitor route.

Here are the key points:

- **Standard visit visa limit:** 6 months maximum per visit.
- **No “long stay” visitor visa for 8 months:** The UK does not offer a general visitor visa that permits an 8-month continuous stay simply to visit family.
- **Possible alternatives:**
  - You could consider applying for a visa in a category that allows longer stays, such as a family visa, if you qualify (e.g., spouse/partner, parent, child, or dependent relative of a British citizen or settled person).
  - You could potentially split your time, but you must be very careful: frequent or successive visits can lead to refusal if the Border Force officer or Entry Clearance Officer believes you are effectively living in the UK through repeated visits.

**Important:** Even if you enter for 6 months, you cannot simply extend as a visitor except in very limited, compelling circumstances (e.g., medical treatment). You also cannot switch from a visitor visa to most other visa categories from inside the UK.

If you provide more details about your nationality, family relationship, and purpose, I can advise more specifically.",,2,2,2
Q23,I want to visit my family in Britain for about eight months. Can I just use a normal visitor visa?,RAG,"Based on the provided context, a Standard Visitor visa usually allows you to stay in the UK for up to 6 months. Source 3 states that a Standard Visitor may apply for a visit visa of six months, two, five or 10 years validity, however each stay in the UK must not exceed the permitted length of stay endorsed on the visit visa (usually six months). Source 4 also confirms that a Standard Visitor visa allows you to stay in the UK for up to 6 months.

If you want to live with a family member in the UK for more than 6 months, you would normally need a family visa rather than a visitor visa. Source 2 says: “You need a family visa to live with a family member in the UK for more than 6 months.”

For detailed guidance on whether any exception might apply to your situation, please check the official UK government website or consult a professional immigration adviser.",https://www.gov.uk/uk-family-visa?step-by-step-nav=e8254fb0-f2d9-45b1-bdc4-d17cbba11bef | https://www.gov.uk/uk-family-visa | immigration_data\immigration_rules_full_20260630.pdf | https://www.gov.uk/visit-uk-holiday-family-friends,2,2,2
Q24,"I have been offered a job in the UK with a salary of £40,000 per year. Does that mean I qualify for a Skilled Worker visa?",LLM-only,"A salary of £40,000 may be sufficient for a Skilled Worker visa, but it depends on several factors. Here are the key points to consider:

**General salary threshold**

The general minimum salary threshold for a Skilled Worker visa is currently **£38,700 per year** (as of April 2024). Since your offer of £40,000 exceeds this, you may meet the general threshold.

**Going rate for your occupation**

You must also be paid at least the “going rate” for your specific occupation code (SOC code). If the going rate for your job is higher than £40,000, you would not qualify unless an exception applies. You can check the going rate for your occupation in the Home Office’s Immigration Rules Appendix Skilled Occupations.

**Lower salary thresholds (if applicable)**

You may be able to rely on a lower threshold if you meet certain criteria, such as:

- You are a “new entrant” (e.g., under 26, a recent graduate, or in post-doctoral positions) — the threshold is lower, typically £30,960 per year, and the going rate is reduced to 70%.
- Your job is on the Immigration Salary List (formerly the Shortage Occupation List) — a lower threshold may apply.
- You have a PhD relevant to the job — the general threshold can be reduced to £34,830 (or £30,960 for STEM PhDs).

**Other requirements**

Salary is only one part of the Skilled Worker visa requirements. You also need:

- A valid Certificate of Sponsorship (CoS) from a UK employer that holds a valid sponsor licence.
- A job offer in an eligible occupation.
- Evidence of English language proficiency (at least CEFR Level B1).
- Sufficient maintenance funds (unless your sponsor certifies maintenance).

**Next steps**

I would recommend confirming the SOC code for your role and checking the going rate in Appendix Skilled Occupations. If you can share your job title and a brief description of the role, I can help you identify the relevant occupation code and assess whether £40,000 meets the requirements.",,1,2,2
Q24,"I have been offered a job in the UK with a salary of £40,000 per year. Does that mean I qualify for a Skilled Worker visa?",RAG,"Based on the provided context, a salary of £40,000 per year may not automatically qualify you for a Skilled Worker visa.

According to Source 1 and Source 2, the minimum salary for the type of work you’ll be doing is whichever is the highest of:

- **£41,700 per year**, or
- the **‘going rate’** for the type of work you’ll be doing

Since £40,000 is below the standard £41,700 threshold, you would not meet the standard salary requirement unless an exception applies.

However, Source 3 notes that you **might still be able to apply** if your job is eligible but your salary is less than the standard requirement of £41,700 or the job’s standard going rate. Source 4 also explains that the salary requirements are different if, for example:

- you work in healthcare or education
- your job is on the Immigration Salary List
- you got a certificate of sponsorship for your first Skilled Worker visa before 4 April 2024 and have held Skilled Worker visas since then

For detailed guidance on whether your specific job and salary qualify, please check the official UK government website or consult a professional immigration adviser.",https://www.gov.uk/skilled-worker-visa/print | https://www.gov.uk/skilled-worker-visa/your-job | https://www.gov.uk/skilled-worker-visa/when-you-can-be-paid-less | https://www.gov.uk/indefinite-leave-to-remain-tier-2-t2-skilled-worker-visa/print,2,2,2
